,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,2,6,7,0,0,4,5,3,0,2,6,9,0,0,12527599.721942302,341502654.01347417,267200000.0,430.30118923479773,0.0018056517550240178
1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,368210.3910345233,591590387.2756399,151900000.0,29.444865211134925,6.482583909351065e-05
2,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,7,0,0,5,5,0,4,6,1,9,0,3,0.0,263300411.17395324,1110800000.0,0.0,0.0
3,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,3,1,5,0,6,0,0,4,1,0,6,6,5,7,0,1,0.0,324598963.7189265,624900000.0,0.0,0.0
4,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,7,0,0,5,5,0,4,6,1,9,0,3,0.0,295995312.26811516,854700000.0,0.0,0.0
5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,6,0,2,7,0,0,219636294.08690757,184785044.30493742,146000000.0,0.0,0.28311898878063907
6,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,7,6,2,6,0,0,457841495.12093776,106005463.64320225,431100000.0,12501.678217670926,0.1488070545886993
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,2,0,3,4,0,8,0,0,1031099201.8393325,191402732.4600972,30700000.0,11142.282933771883,0.3660429225929995
8,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,3,1,3,3,7,0,0,4,3,0,6,4,2,10,4,0,0.0,391794203.29103106,515700000.0,0.0,0.0
9,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0,3,0,0,0,2,0,0,5,4,5,0,0,243710107.80014247,129224766.8297407,874300000.0,12813.625879748775,0.05806591020076056
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,2,0,1,4,10,7,0,0,1042622170.5875103,180427373.82304502,0.0,0.0,0.937048306743415
11,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,0,0,0,3,0,0,4,0,1,0,7,2,7,0,0,130435463.56553158,165196857.66070375,363800000.0,8006.678030825637,0.015278280001600482
12,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,2,0,1,6,10,5,0,0,688857370.5451834,182613003.68499815,61400000.0,0.0,0.6232105734726965
13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,4,0,0,0,0,1868754394.8517375,80092064.09196512,61400000.0,0.0,1.7345308954863208
14,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,0,1,4,2,7,0,0,296285955.50119305,169508286.3151205,176700000.0,0.0,0.2683361701270373
15,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,4,7,5,7,0,0,521664864.5738114,162015842.99913764,394500000.0,0.0,0.4658482809129682
16,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,2,0,3,0,4,0,0,4,0,0,2,1,4,6,0,0,46221697.858589016,187142789.75289315,759800000.0,2355.7857753067588,0.006755616952734196
17,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,2,6,1,4,0,0,372050365.87785625,105665224.17707035,721500000.0,11189.624813889055,0.12183711520616483
18,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,1921212154.330312,40998603.81477798,146000000.0,132049.6106467384,0.22603639564872247
19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,4,0,0,0,0,2557868159.2784796,92920286.17743167,30700000.0,0.0,2.2110422380964736
20,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,3,0,0,0,7,0,0,6,2,0,2,6,1,7,0,3,9182164.28508759,243490050.89944142,793300000.0,775.6123021333074,0.001355064112829207
21,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,1,2,0,0,0,1970279231.3212404,75169895.7320343,115300000.0,0.0,1.8102342909847833
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,1,4,5,7,0,0,1064791599.145329,137293040.38008514,0.0,0.0,0.9837982136947425
23,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,5,1,0,1,5,3,0,0,0,1058253362.2844691,80920517.75469643,357700000.0,53774.33126578446,0.14018721521278057
24,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,7,0,0,3,1,0,3,5,5,9,0,0,1879586.7855150613,240952914.11072218,1064500000.0,0.0,0.004879554142322191
25,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,3,0,0,0,0,1,5,6,2,7,0,0,191433893.40801406,148903915.60478723,898900000.0,4483.200486675506,0.09566483175581102
26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,4,2,0,7,0,1175774271.3190134,125727178.38051417,61400000.0,0.0,1.244885329823864
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,1,4,2,0,0,0,2830104911.051993,96110577.70182887,0.0,73220.11363662133,1.1505792863703475
28,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,3,0,0,2,5,0,9,0,0,397165944.83204246,96482270.29505828,771800000.0,19554.54786320318,0.053078238758426786
29,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,5,0,0,4,0,1,1,7,2,6,0,0,171574790.63698736,179969531.0229224,492600000.0,0.0,0.19222501677663395
30,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,3,0,0,3,3,0,2,6,1,7,0,0,49367860.528966196,172062118.7071167,1118400000.0,1391.436442415628,0.017493605135810466
31,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,5,3,0,7,3,0,6,2,0,5,5,6,9,7,0,950629.3645897618,451050368.54961455,182600000.0,0.0,0.0013171317450930819
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,1,0,0,0,2110350338.442782,55288295.49133259,84600000.0,0.0,2.039366184486177
33,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,7,3,0,4,3,0,2,3,0,7,3,0,66343954.893328145,286892693.4560264,146000000.0,1664.8617541798837,0.027946829103281057
34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4,2,0,0,0,1935759139.9430714,46880394.41874944,115300000.0,132937.43953554874,0.20609219473019963
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,2,2,0,0,0,2203030631.8243227,79633132.48590842,30700000.0,151364.96583281644,0.3016693644092364
36,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4,3,0,3,0,1342794289.4290128,78514551.19659752,199900000.0,93840.96570619098,0.1531061751036233
37,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1,4,0,0,0,0,3803644575.2457786,42750668.33527112,61400000.0,79418.18282128076,0.4232549119088277
38,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,2,0,0,1381544156.0033348,48648014.90305084,146000000.0,40945.775441808946,0.568967039762266
39,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,3,0,0,0,0,0,0,3,0,0,2,7,2,0,0,0,810418951.4173505,56704137.76559993,563500000.0,53112.35623096995,0.08688035217544199
40,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,2,3,3,7,0,0,521664864.5738114,117216607.17923814,394500000.0,32136.953646311133,0.05590179370955619
41,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,3,3,0,7,0,0,6,3,0,5,6,6,8,8,0,7089470.268755296,379430980.6889777,236500000.0,0.0,0.010193338593028355
42,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,1,0,1,0,0,0,1841633641.840007,89370655.16694954,146000000.0,0.0,1.7784502932858481
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,0,0,5,1,0,2,4,1,7,3,0,241578164.38862672,266848410.732146,0.0,2977.7770950066806,0.02769805648668189
44,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,0,1,2,5,7,7,0,0,428767893.6852604,128057214.68694162,297900000.0,11958.414595072707,0.1351541612515591
45,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,5,0,0,0,2274426833.227336,39935619.594140425,205800000.0,141611.78081498152,0.35328408610906514
46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,0,0,0,0,3938223450.008119,49099980.112082385,30700000.0,0.0,2.9135081079662726
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,7,0,0,4,1,0,0,0,1974393427.2930892,121265726.04771966,0.0,64721.04358522169,0.6599469664693995
48,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,3,0,0,3,0,0,1,6,4,7,0,0,156616696.38402498,147837584.48834905,1259200000.0,0.0,0.1522107998554923
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,5,0,1,4,2,0,7,0,2138663097.536443,135267788.8296943,0.0,50691.71301155651,0.9546009336491659
50,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,0,7,4,0,0,0,0,1027358641.5444504,55326039.49310197,575500000.0,32231.5274885033,0.32894631927696993
51,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,1,7,2,0,0,0,1768008503.4130507,83434039.698418,205800000.0,0.0,1.9118332929853685
52,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,1,7,1,7,7,0,3,5,4,2,10,6,0,1769132.266818626,538958277.5958868,61400000.0,0.0,0.0024671351563354607
53,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7,7,0,7,0,2,4,3,6,10,1,1,1372456.7177774417,435363756.74428016,115300000.0,0.0,0.001959399601787538
54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,1,3,2,0,0,0,2504788265.628147,99962937.49902523,30700000.0,0.0,2.4597645795451393
55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,4,2,0,0,0,2026061156.9880013,101665722.22428973,30700000.0,0.0,2.0043772958072514
56,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,6,7,3,0,0,0,1042072488.0982114,67315336.4822436,575500000.0,0.0,0.9416644606896425
57,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,6,0,5,0,0,0,1888506592.8425965,46426822.292463586,236500000.0,119907.9928688926,0.264259274200134
58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,6,4,6,3,0,0,1221703213.8025255,117735593.758502,115300000.0,0.0,1.2431569118246946
59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,3,3,2,0,4,5,7,0,0,199632568.9837281,229729216.59160966,30700000.0,0.0,0.20135552530091289
60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,7,3,0,7,2,1,6,5,6,10,0,3,3530303.693399182,447023335.7423494,30700000.0,0.0,0.004426534758122999
61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,2338855805.501816,44897348.63881867,84600000.0,0.0,2.855691572205904
62,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,1,0,0,1066353289.5993955,64673850.06124854,297900000.0,0.0,0.9687700759931017
63,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,7,0,2,7,2,0,7,6,0,5,1,3,9,3,0,1071302.6116298274,439776806.25902945,242400000.0,85.59079411211722,0.00018915054415790641
64,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,5,0,5,7,1,0,6,3,0,6,4,2,10,0,0,0.0,393405796.4784498,267200000.0,0.0,0.0
65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,2,0,7,3,0,7,0,0,813451403.6043545,163201643.60956427,30700000.0,24095.946074649604,0.2663767646182038
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,2,4,0,1,0,0,2203305521.1144333,113828299.26452975,0.0,0.0,1.9743116625192034
67,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3808697851.536643,28752695.323928736,61400000.0,47955.90515208818,1.0185407399886452
68,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,2950647682.7167745,21556221.14781617,417700000.0,0.0,3.8700833357534483
69,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,5,0,3,7,1,7,7,4,0,6,3,5,10,0,0,0.0,485335770.99574697,182600000.0,0.0,0.0
70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,5,3,0,1,0,1773315021.9151502,109378669.34342395,84600000.0,0.0,1.6145622869544134
71,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,3003613487.678632,25020674.91684363,205800000.0,167850.52226753614,0.5220027022613487
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,4192274170.42852,41577188.17503481,0.0,0.0,3.1345236470768385
73,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,2,1,3,0,0,1541950036.035526,71545393.02254793,115300000.0,74777.40476111133,0.32288461444959454
74,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,2982009397.0977674,25020674.91684363,115300000.0,183325.73795244412,0.4669070288339272
75,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,2,0,3,0,0,0,0,0,3,4,3,6,0,0,98940114.02377331,155243334.4407822,1052500000.0,0.0,0.1280260147197247
76,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,3,0,0,0,0,0,0,3,0,0,5,1,4,7,0,0,626762213.2970725,98798124.08078608,478900000.0,36694.07197995721,0.06684571395170787
