,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,104,324.9950500477728,10.0,0.8051858674728863,349.47914785453287,1.5,0.23671085222167706,147.71088721553582,1.0,0.9570156303922399,236.39899916857726,1.5,0.746276117602069,259.408208285345,10.0,0.6823272883288494,4.5,1.5,3.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,0,0,dikesnet
1,49,230.83007318995118,1.5,0.9059512686803302,103.66835921032107,10.0,0.7138500872079108,320.0863343407804,10.0,0.29693144308668895,254.0330437539629,1.0,0.6224331334133529,211.50689537199625,1.0,0.49266836136923625,1.5,3.5,1.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,1,0,dikesnet
2,32,336.08334573877903,10.0,0.38636089403549645,264.62196980902155,1.0,0.5839041654196371,110.91583042164368,10.0,0.7487092628427454,185.32805104894354,1.0,0.05792650531346734,39.14439217827731,1.0,0.16408933147585544,3.5,3.5,3.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,2,0,dikesnet
3,87,68.745633285532,1.0,0.9316381297868701,85.14052994772595,1.5,0.9459138406132261,220.74536510744863,1.0,0.7088635246282113,248.9560650583022,10.0,0.9802361302500223,254.63191810149715,10.0,0.610549348957543,4.5,1.5,1.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,3,0,dikesnet
4,127,263.2750122507181,1.0,0.5396710587298382,280.7862180401524,10.0,0.4931910507554971,226.0272769065479,1.5,0.4683005262701815,181.00462857330936,1.5,0.9429271547417849,217.6859040201816,10.0,0.8189263402767102,3.5,3.5,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,4,0,dikesnet
5,6,191.64916540102823,1.0,0.2432081526635626,74.80768332237177,1.5,0.9073287545316256,207.44823887225988,1.5,0.4519123578518131,221.53358987550615,10.0,0.6526558042138544,208.15543853024553,1.0,0.2758399820345221,3.5,1.5,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,5,0,dikesnet
6,38,180.0690359405373,1.0,0.4366425287879984,112.60691186513392,1.5,0.9952619445718629,128.73228348425812,1.0,0.2569957095273052,291.40082518663235,1.0,0.4486653760192566,349.7797413833046,1.0,0.4325861588779354,3.5,2.5,1.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,6,0,dikesnet
7,3,287.12256261264395,1.5,0.9217696846545399,195.63852875656409,1.5,0.07975991528169168,58.647501714363074,10.0,0.5525376366199497,267.54630140960114,1.5,0.047451456794709995,93.93942162874252,10.0,0.53499281033624,2.5,3.5,3.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,7,0,dikesnet
8,2,128.31809836241914,1.5,0.7048575260606753,79.58780053294313,1.0,0.8748460932107612,143.22687565728177,10.0,0.2766374075128336,90.69349254482904,1.5,0.8741813037939735,140.7930824410181,1.5,0.5000279481746206,3.5,4.5,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,8,0,dikesnet
9,59,94.33748172428231,10.0,0.004962287233545188,160.79327297745004,10.0,0.19289204617376043,307.88123059199467,1.5,0.712205489916395,299.8304182600106,10.0,0.21349793497164563,158.5684330064471,10.0,0.45812880011510326,1.5,1.5,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,9,0,dikesnet
10,55,39.07989596044847,10.0,0.9108036684154989,35.84672917686841,1.0,0.6835513162634564,252.50643834224923,1.0,0.7550019308287593,286.71988524945385,1.0,0.3181374649519818,172.29018975001492,1.5,0.26296281432113716,3.5,1.5,1.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,10,0,dikesnet
11,115,328.82307560859465,1.0,0.5053367334754135,242.26250676831432,1.5,0.5446716079728636,270.7854197206982,1.0,0.42045727318657555,64.34505025298131,1.0,0.37865139347530147,156.43121358591884,1.5,0.6322060986887358,1.5,1.5,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,11,0,dikesnet
12,79,136.49271801502846,1.0,0.6982542054945486,270.91221963042983,1.5,0.7968582513758847,273.8856637363441,1.5,0.13407424932740056,69.93704201860925,1.5,0.7720548460564727,213.1261578945907,1.0,0.24129466726023097,4.5,1.5,2.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,12,0,dikesnet
13,121,204.89937100292534,1.5,0.8400511474749885,89.36304900804981,10.0,0.40656243550872656,166.23907343662793,1.0,0.4777668224042059,234.46322210761957,10.0,0.18592849180312107,236.1953199388813,1.0,0.44712849910724717,1.5,2.5,1.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,13,0,dikesnet
14,69,306.14011381111254,1.5,0.29167066640729183,157.37689633037027,10.0,0.473722656613903,202.35041321646915,1.0,0.2314882459445536,225.0294897511195,1.5,0.919400996137595,153.55438654266578,10.0,0.41517812840461693,2.5,3.5,1.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,14,0,dikesnet
15,1,200.2202381531002,10.0,0.8102094564664568,164.13745640018743,1.0,0.482857188823274,210.91197015090995,1.5,0.6267926937874471,326.6743436344434,1.5,0.16050953924878789,199.5601497757829,1.5,0.01615692747300298,2.5,1.5,3.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,15,0,dikesnet
16,71,279.38769761474543,1.5,0.45704605500463336,50.59334784459466,1.0,0.1541988125253972,283.2016884939396,1.5,0.7742262357534831,245.2617770599485,1.0,0.175445049425543,61.984734963117205,1.5,0.3406179116894319,4.5,2.5,4.5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,3,2,2,7,7,0,7,5,7,3,4,2,10,3,3,16,0,dikesnet
