,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,26,219.7182752702673,10.0,0.9278292652184725,184.56793123524585,1.5,0.7154648048004443,151.74671498384075,1.5,0.8485344725481029,175.1900006080969,10.0,0.20911407135975335,144.24546344484574,1.0,0.8402205796025699,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,83,122.0446208609667,1.5,0.2542644616311833,278.4372280727832,10.0,0.447539083311745,312.3452460106316,1.0,0.9819392987549798,321.84451071923377,10.0,0.31225828961360996,43.370276971593036,10.0,0.5890078790969832,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
2,129,326.2845520141135,10.0,0.25601900119995563,228.93166009265346,10.0,0.05428015927137984,314.08415525460066,1.0,0.06189656792132602,331.9781901471184,10.0,0.775693746984754,185.84326207098997,1.0,0.1911069721815334,2.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
3,36,102.88124210860909,1.5,0.44633513957551135,306.3063039803267,1.5,0.979736449612985,187.46230660250683,1.5,0.9620049382871918,228.393673477785,1.5,0.7380867845300201,109.64161897926806,1.5,0.5281547872813234,4.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
4,22,288.4601983950801,1.0,0.11712014494932138,50.890137260905384,1.0,0.07755771845654177,347.63366882302813,1.0,0.4713201668785713,270.0928056684086,1.5,0.5784525423311927,89.07340063597576,1.5,0.5727446982920812,4.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
5,20,63.81691116674676,10.0,0.703239432666481,135.43889682322413,1.5,0.53200243424328,158.8994872727674,1.0,0.5018765852965993,232.63883877213087,1.0,0.4794517326631141,322.6319308411059,1.5,0.9806494883001533,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
6,43,54.570054412769544,1.0,0.38776787493018994,204.4361818849485,1.5,0.9685990792341597,92.63306919763266,1.5,0.46678078390536665,57.28874821596655,1.0,0.39472080639597174,113.28043720117441,1.0,0.1711404501136877,1.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
7,86,108.41324039330087,10.0,0.24884094085089792,344.40161633608693,1.0,0.672179151765651,116.75598782986837,1.5,0.26085345697016454,36.38748150067363,10.0,0.9038763013884747,248.28601621309997,1.0,0.5753121232753494,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
8,72,289.89803249043496,1.5,0.4839564149728632,40.798278344281776,1.0,0.920005230954606,219.82569161867133,1.5,0.7585271035923746,174.52390995226708,1.5,0.842498829241592,295.3561753627579,1.0,0.3029801100308944,4.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
9,4,194.08576003772353,10.0,0.8239791882321741,92.69217375848564,1.5,0.349513746560064,255.95021933368815,1.5,0.8501047091158858,304.65433887834513,1.0,0.013308662260473399,32.589861879392025,1.5,0.9705539091137861,2.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
10,96,310.2490675140641,1.0,0.9281311074951621,88.7564231342001,10.0,0.6249206024682273,230.45299745705432,1.0,0.16745647907457936,69.90755611707797,1.5,0.5382749900562889,271.0246042072332,10.0,0.6400825966210306,1.5,4.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,policy 0,dikesnet
11,116,316.3860716242972,1.0,0.5162496614038887,344.2251155731381,10.0,0.6045706163868181,224.8298009357839,1.5,0.6705601844057294,136.99133674059863,1.5,0.9971961791811922,49.648268125028494,10.0,0.9086189801103985,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,policy 0,dikesnet
12,30,155.65576820850492,1.5,0.15639669210705637,191.51818107412458,1.5,0.6626826592928766,113.75505242353675,1.0,0.8061042448124323,217.05317344460397,1.0,0.1423892472197084,146.04409586937794,10.0,0.8420607690816305,2.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,policy 0,dikesnet
13,30,38.71282447957714,1.0,0.7568487345227811,214.87573137556907,10.0,0.7119460818311715,302.0627493951041,1.5,0.9995192711686206,248.5594148433109,10.0,0.2560025334495851,278.2754478007738,10.0,0.24323841648791997,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,policy 0,dikesnet
14,86,155.35001769877397,10.0,0.005658953179963302,326.16796616744,1.0,0.40760085518565214,35.26246298207902,10.0,0.8955089771428847,340.74338805891045,1.0,0.49356928320482146,234.69023675825994,1.5,0.2648339340093463,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,policy 0,dikesnet
15,89,291.6849713866547,10.0,0.042834990734680584,94.0404180497075,1.5,0.02183382059321352,276.2775225217489,10.0,0.211345947515579,262.6295987277774,10.0,0.3985813975207633,51.78141670705587,1.5,0.8516104117085921,2.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,policy 0,dikesnet
16,55,61.78515589402482,10.0,0.7690514578755272,108.45411010687084,10.0,0.9586852417399235,288.4490690778174,1.0,0.609340782598088,215.88738089995974,10.0,0.409104052528582,137.16935915060134,10.0,0.5603318397388858,1.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,policy 0,dikesnet
17,22,162.16380514985462,1.0,0.27169811582225356,318.565612465712,10.0,0.752243031884155,62.59438366632918,10.0,0.9103529009880794,252.9561033356376,10.0,0.1667008406803094,205.21279820332708,10.0,0.015449720645371529,2.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,policy 0,dikesnet
18,76,232.28646984532486,1.5,0.719687492139365,219.14895738556163,1.0,0.37159396391036126,333.0549417195523,1.0,0.9890602275790261,213.60144675226965,1.5,0.7844726934105761,273.2175565854534,10.0,0.7290990936905284,3.5,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,policy 0,dikesnet
19,122,83.91301606593873,1.0,0.8496363782663059,71.37566512628622,1.0,0.39791084095317336,219.67216030990778,1.5,0.43100190047257936,63.24086009884883,1.0,0.8993112914641536,269.06565445316767,1.0,0.26207854961793076,2.5,1.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,policy 0,dikesnet
