,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
0,873106539.7697537,0,0.0,0.0,0.9045281723135411,policy 0
1,373737757.3963394,0,0.0,0.0,0.23812457838866802,policy 0
2,2686782879.6076694,0,0.0,0.0,1.5532944636649464,policy 0
3,186389129.3501407,0,0.0,0.0,0.22657175942255914,policy 0
4,158557748.69075814,0,0.0,0.0,0.12633656578003763,policy 0
5,2181437212.391318,0,0.0,0.0,1.638206258916261,policy 0
6,1667973923.4520812,0,0.0,0.0,3.104072781612528,policy 0
7,125953085.21280558,0,0.0,0.0,0.11431635875155022,policy 0
8,134335741.39749223,0,0.0,0.0,0.16040682702060333,policy 0
9,418930817.4427018,0,0.0,0.0,0.49525073183161267,policy 0
10,996296271.3292047,0,0.0,0.0,0.6945907845252,policy 0
11,2318105286.4305096,0,0.0,0.0,1.6566175920194817,policy 0
12,912196236.9947567,0,0.0,0.0,1.1482644204912913,policy 0
13,1870792593.5834355,0,0.0,0.0,1.1721045398897854,policy 0
14,439477640.2558554,0,0.0,0.0,0.6357618497911728,policy 0
15,2798173251.7089357,0,0.0,0.0,2.791145482435362,policy 0
16,791362669.78937,0,0.0,0.0,0.706878482335066,policy 0
17,169354697.8291543,0,0.0,0.0,0.1798328618118826,policy 0
18,1111017510.8836815,0,0.0,0.0,1.068260785564783,policy 0
19,2209321685.4818654,0,0.0,0.0,1.6053157349115108,policy 0
20,3199170615.7407928,0,0.0,0.0,3.401036831814444,policy 0
21,2186460790.6122346,0,0.0,0.0,1.561369047486413,policy 0
22,1406330028.9203634,0,0.0,0.0,2.977713259187608,policy 0
23,2253441517.2417192,0,0.0,0.0,3.0221425450400874,policy 0
24,344985467.7367817,0,0.0,0.0,0.3017074154846201,policy 0
25,2038874771.1637595,0,0.0,0.0,2.6548651409769506,policy 0
26,2267041322.1580915,0,0.0,0.0,3.125535125408709,policy 0
27,98403699.33786488,0,0.0,0.0,0.14523444035752434,policy 0
28,3496247982.8591633,0,0.0,0.0,3.04127691306029,policy 0
29,4085880525.90801,0,0.0,0.0,4.1478972805249015,policy 0
30,239314269.2323115,0,0.0,0.0,0.19051407248928753,policy 0
31,2669315886.615037,0,0.0,0.0,1.5703949158809953,policy 0
32,4012452386.218683,0,0.0,0.0,4.202231348164116,policy 0
33,2045774027.6164246,0,0.0,0.0,1.7768479630917196,policy 0
34,2357670404.64462,0,0.0,0.0,1.6201404041227812,policy 0
35,2010392226.5944471,0,0.0,0.0,2.985801251773164,policy 0
36,721393212.4719317,0,0.0,0.0,0.6187792790897987,policy 0
37,808887521.2072974,0,0.0,0.0,0.5719498279613041,policy 0
38,830854394.1896942,0,0.0,0.0,0.7719898837340822,policy 0
39,2340614992.29131,0,0.0,0.0,1.6061070486389655,policy 0
40,4399849956.868889,0,0.0,0.0,3.4122869743710167,policy 0
41,345789143.4418496,0,0.0,0.0,0.6632202904258677,policy 0
42,278447382.1475856,0,0.0,0.0,0.3721351387827007,policy 0
43,191338901.19340843,0,0.0,0.0,0.17193335590852618,policy 0
44,3031173059.6828804,0,0.0,0.0,1.6216399566252464,policy 0
45,1078513878.85402,0,0.0,0.0,2.326811758930387,policy 0
46,2038976055.0882978,0,0.0,0.0,1.5949830731822334,policy 0
47,2239555536.15697,0,0.0,0.0,1.6742901988890622,policy 0
48,281468150.8126221,0,0.0,0.0,0.3403618697630939,policy 0
49,3985580846.8518624,0,0.0,0.0,4.475131454451754,policy 0
50,1930620508.158823,0,0.0,0.0,3.000284512349379,policy 0
51,2338933229.551129,0,0.0,0.0,1.6046634426491702,policy 0
52,2983829366.2360134,0,0.0,0.0,1.5900108303149822,policy 0
53,735765246.9279401,0,0.0,0.0,0.6431631617786895,policy 0
54,1559957514.6709979,0,0.0,0.0,2.3431977635440386,policy 0
55,2987077076.525174,0,0.0,0.0,1.5921802830489733,policy 0
56,2268823657.3934765,0,0.0,0.0,1.5798289951504527,policy 0
57,2118304116.03685,0,0.0,0.0,2.9491558020596957,policy 0
58,2186105574.466548,0,0.0,0.0,1.6128603333995555,policy 0
59,2094511101.922493,0,0.0,0.0,1.6775128822358223,policy 0
60,860272592.707345,0,0.0,0.0,0.9107728021510066,policy 0
61,271942045.1892783,0,0.0,0.0,0.19888338072165584,policy 0
62,1173659937.3395338,0,0.0,0.0,1.061650570797958,policy 0
63,415308112.9616579,0,0.0,0.0,0.2982712351174477,policy 0
64,549723546.325872,0,0.0,0.0,0.527944706938721,policy 0
65,369799494.60738254,0,0.0,0.0,0.4789981975602346,policy 0
66,2600463137.8020697,0,0.0,0.0,2.713094274197461,policy 0
67,2619525616.2178016,0,0.0,0.0,1.6204912770099604,policy 0
68,1651758455.3615305,0,0.0,0.0,2.9942836117584353,policy 0
69,1328966910.01239,0,0.0,0.0,2.8799263151250947,policy 0
70,2336139910.0320854,0,0.0,0.0,1.602265340747771,policy 0
71,207060538.03179455,0,0.0,0.0,0.17360226718390911,policy 0
72,2430460024.894389,0,0.0,0.0,1.6110124383634254,policy 0
73,362166963.447653,0,0.0,0.0,0.297029536989114,policy 0
74,894029898.6042653,0,0.0,0.0,1.593099049821325,policy 0
75,783166278.8933111,0,0.0,0.0,0.5346680419451434,policy 0
76,706696048.4564145,0,0.0,0.0,1.0525279503335223,policy 0
77,280570369.3439269,0,0.0,0.0,0.2481649716172944,policy 0
78,478686370.34777653,0,0.0,0.0,0.7226181324894727,policy 0
79,292707381.6096755,0,0.0,0.0,0.1748535849894583,policy 0
80,198060423.61938244,0,0.0,0.0,0.22789797856011806,policy 0
81,708084577.7157512,0,0.0,0.0,0.7305542938443116,policy 0
82,2225546485.764309,0,0.0,0.0,1.6208456108138547,policy 0
83,2992748466.4213324,0,0.0,0.0,1.5959690310167456,policy 0
84,298803298.4518124,0,0.0,0.0,0.7505742594707911,policy 0
85,3625046928.2143455,0,0.0,0.0,4.258285601128543,policy 0
86,2238103540.32031,0,0.0,0.0,1.6223871842857347,policy 0
87,2131339788.7704663,0,0.0,0.0,1.5623772733203183,policy 0
88,1757834499.0793402,0,0.0,0.0,3.1191662184187208,policy 0
89,1869782452.7811155,0,0.0,0.0,3.2629295975589043,policy 0
90,2177019388.589742,0,0.0,0.0,1.612202317787641,policy 0
91,393452688.7537281,0,0.0,0.0,0.3466495389012759,policy 0
92,1501335495.0495663,0,0.0,0.0,2.9376464056388505,policy 0
93,2794174515.0702643,0,0.0,0.0,1.6564995038155315,policy 0
94,2302565374.5630803,0,0.0,0.0,1.6069794686354997,policy 0
95,2527486356.9705925,0,0.0,0.0,1.6194667937408056,policy 0
96,1027654903.4715651,0,0.0,0.0,1.1134042023704387,policy 0
97,1060343479.650507,0,0.0,0.0,0.9648199901793134,policy 0
98,436304144.4008583,0,0.0,0.0,0.6637227978021746,policy 0
99,3976299798.571396,0,0.0,0.0,3.619220720738377,policy 0
100,98392536.30469707,0,0.0,0.0,0.1604123216358201,policy 0
101,2469300541.968632,0,0.0,0.0,1.606293707328585,policy 0
102,2225741335.767152,0,0.0,0.0,1.6108440635583627,policy 0
103,2165397408.7436075,0,0.0,0.0,1.6014430943163702,policy 0
104,2268823657.3934765,0,0.0,0.0,1.5798289951504527,policy 0
105,183880117.6934502,0,0.0,0.0,0.17175987496984987,policy 0
106,152640689.06608883,0,0.0,0.0,0.11572352615407272,policy 0
107,1594339099.5666037,0,0.0,0.0,3.087835621736326,policy 0
108,2779728855.719216,0,0.0,0.0,2.6156216471621683,policy 0
109,2974384177.374735,0,0.0,0.0,2.439518132244715,policy 0
110,2920869536.4462852,0,0.0,0.0,2.2426366429750253,policy 0
111,1953947688.4472215,0,0.0,0.0,1.682054704557875,policy 0
112,2520896713.5843844,0,0.0,0.0,3.0425031604565027,policy 0
113,2819435816.5061436,0,0.0,0.0,1.6536718312033738,policy 0
114,677353398.3524857,0,0.0,0.0,0.5319040463540573,policy 0
115,2601058637.521059,0,0.0,0.0,1.926363977486298,policy 0
116,1946844136.8760538,0,0.0,0.0,1.6824768593658186,policy 0
117,1427989048.1096053,0,0.0,0.0,0.7808780907675381,policy 0
118,457340898.085845,0,0.0,0.0,0.3814423872454695,policy 0
119,4039736685.920873,0,0.0,0.0,3.8209402349366375,policy 0
120,1240683686.948462,0,0.0,0.0,0.9484610411780737,policy 0
121,79116942.74687862,0,0.0,0.0,0.07063720247068306,policy 0
122,2061430610.7970433,0,0.0,0.0,1.6169899519244133,policy 0
123,581424519.781859,0,0.0,0.0,0.817775462974005,policy 0
124,2582570235.2996516,0,0.0,0.0,1.705225345696821,policy 0
125,2686407914.064323,0,0.0,0.0,2.2253385566684174,policy 0
126,2174226668.8796597,0,0.0,0.0,1.3320492604216847,policy 0
127,1747105679.6507182,0,0.0,0.0,1.5913423466663232,policy 0
128,2481973542.706712,0,0.0,0.0,1.6136692963062764,policy 0
129,1318203122.2081347,0,0.0,0.0,3.023838740149066,policy 0
130,437088075.04219663,0,0.0,0.0,0.3498781960407248,policy 0
131,2285639709.1104345,0,0.0,0.0,1.785680649373079,policy 0
132,532007534.9945142,0,0.0,0.0,0.503817571729628,policy 0
133,694037478.8720322,0,0.0,0.0,0.5946545846295437,policy 0
134,2548511057.123071,0,0.0,0.0,2.038738214359695,policy 0
135,2047819915.6314793,0,0.0,0.0,1.6036505584438099,policy 0
136,2598282425.7517757,0,0.0,0.0,1.612825835618352,policy 0
137,868970326.4333258,0,0.0,0.0,0.6444321730655669,policy 0
138,312015085.6448032,0,0.0,0.0,0.5798343511902135,policy 0
139,2744076757.1509066,0,0.0,0.0,1.8675337697911578,policy 0
140,143753421.46962148,0,0.0,0.0,0.17016941633711835,policy 0
141,2219551905.7919755,0,0.0,0.0,3.250508269335371,policy 0
142,2492495138.860123,0,0.0,0.0,1.6196902863044609,policy 0
143,3795255587.306258,0,0.0,0.0,4.160800204443344,policy 0
144,2413682287.939855,0,0.0,0.0,1.7766170609911358,policy 0
145,1971207244.7410352,0,0.0,0.0,1.6598894740697183,policy 0
146,1795340552.7114604,0,0.0,0.0,2.9225881985807156,policy 0
147,2986721217.7261825,0,0.0,0.0,1.5919425686919326,policy 0
148,3340453251.2944493,0,0.0,0.0,2.6984889168551396,policy 0
149,581546390.33157,0,0.0,0.0,0.602809748256258,policy 0
150,2166063911.17659,0,0.0,0.0,3.1677254867315154,policy 0
151,803756571.0212197,0,0.0,0.0,0.867939821853459,policy 0
152,1099246916.3340912,0,0.0,0.0,1.0113038557865388,policy 0
153,929058214.1654876,0,0.0,0.0,0.7078987544268214,policy 0
154,135543891.34819502,0,0.0,0.0,0.13380331867230855,policy 0
155,1219359000.1232147,0,0.0,0.0,1.367287236696328,policy 0
156,2777422104.3284545,0,0.0,0.0,1.82359533583915,policy 0
157,2455402466.24158,0,0.0,0.0,1.5949830731822334,policy 0
158,2551685533.198001,0,0.0,0.0,1.6778057269575974,policy 0
159,646940003.420759,0,0.0,0.0,0.4945002943880868,policy 0
160,1962557548.9148345,0,0.0,0.0,2.0792431290055053,policy 0
161,453686573.0561123,0,0.0,0.0,0.8715166631677821,policy 0
162,1717065913.313549,0,0.0,0.0,1.7907220540553572,policy 0
163,2091304945.4879546,0,0.0,0.0,3.1426624575020354,policy 0
164,1009441628.1462036,0,0.0,0.0,0.9130662864943281,policy 0
165,3208310185.1826963,0,0.0,0.0,3.048425421256341,policy 0
166,4066052695.616468,0,0.0,0.0,3.5435619203567668,policy 0
167,1878791607.9020293,0,0.0,0.0,1.5945347638753733,policy 0
168,612640170.6772864,0,0.0,0.0,0.5235255079560949,policy 0
169,1137285631.9841883,0,0.0,0.0,0.9142382714141395,policy 0
170,2512200728.1223235,0,0.0,0.0,2.2083525268063164,policy 0
171,1545348051.2840755,0,0.0,0.0,1.1518018886453196,policy 0
172,785250922.6249856,0,0.0,0.0,0.906320589097034,policy 0
173,2478930151.59641,0,0.0,0.0,1.6141304974210318,policy 0
174,185860917.1035198,0,0.0,0.0,0.2622923739668734,policy 0
175,1728078617.340467,0,0.0,0.0,2.25732788929925,policy 0
176,1147725705.5227838,0,0.0,0.0,0.9738793512036568,policy 0
177,229064533.69060028,0,0.0,0.0,0.42169689882294853,policy 0
178,3075258344.070252,0,0.0,0.0,1.6550605005511492,policy 0
179,1571119838.5152395,0,0.0,0.0,1.1691992813949166,policy 0
180,1225589046.7954264,0,0.0,0.0,2.8306060739970036,policy 0
181,449045476.26532394,0,0.0,0.0,0.308498279813611,policy 0
182,1718776344.7556095,0,0.0,0.0,1.1466517661760862,policy 0
183,300006497.68364924,0,0.0,0.0,0.29442253672455493,policy 0
184,997136601.4668008,0,0.0,0.0,0.6410061680215706,policy 0
185,209788958.5965863,0,0.0,0.0,0.2133480012599684,policy 0
186,963956277.3178105,0,0.0,0.0,0.7555835010154095,policy 0
187,1870042227.341669,0,0.0,0.0,3.1595378962221328,policy 0
188,2419879410.2825646,0,0.0,0.0,1.5660938714969306,policy 0
189,406690638.175932,0,0.0,0.0,0.8429048773817664,policy 0
190,2823427399.178269,0,0.0,0.0,1.5959690310167456,policy 0
191,2595120737.1251655,0,0.0,0.0,1.6019113326767673,policy 0
192,2120034539.994637,0,0.0,0.0,1.6766441461131318,policy 0
193,1767162960.5901783,0,0.0,0.0,1.6091087750840856,policy 0
194,227979848.8842969,0,0.0,0.0,0.19886896261181508,policy 0
195,2064146239.5024905,0,0.0,0.0,1.619652228574967,policy 0
196,1166369334.9596484,0,0.0,0.0,1.7417840879013413,policy 0
197,2392545474.485415,0,0.0,0.0,2.19160491757183,policy 0
198,166254364.53630507,0,0.0,0.0,0.19603948357605597,policy 0
199,2998558592.2455053,0,0.0,0.0,1.5994308916014974,policy 0
200,4694598077.354353,0,0.0,0.0,4.166656400459454,policy 0
201,453677856.60508364,0,0.0,0.0,0.49303330221111186,policy 0
202,928012247.7791998,0,0.0,0.0,1.8164494952955748,policy 0
203,358492943.1647608,0,0.0,0.0,0.3170065656053938,policy 0
204,2690520344.56855,0,0.0,0.0,1.580805515049307,policy 0
205,324879774.0216661,0,0.0,0.0,0.22380495976291143,policy 0
206,2322199509.763725,0,0.0,0.0,1.7343234344299803,policy 0
207,2120148818.834684,0,0.0,0.0,2.5754489868887847,policy 0
208,759992601.5860977,0,0.0,0.0,0.6077658363213259,policy 0
209,3022473935.866428,0,0.0,0.0,1.8769688307106465,policy 0
210,1052745560.6403058,0,0.0,0.0,1.0254248668219617,policy 0
211,2374619587.491279,0,0.0,0.0,1.5692579865132164,policy 0
212,1252776606.0825205,0,0.0,0.0,0.9567831982317199,policy 0
213,174888769.26327306,0,0.0,0.0,0.1430404233149055,policy 0
214,2614060813.1155863,0,0.0,0.0,1.6245701308380947,policy 0
215,319290580.64413875,0,0.0,0.0,0.5443243036509473,policy 0
216,1996887972.1068742,0,0.0,0.0,1.6708851621303915,policy 0
