,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths,policy
0,4216338696.9246607,0,0.0,0.0,4.15596123552524,policy 0
1,1673391336.7083097,0,0.0,0.0,2.999229294314824,policy 0
2,990694557.9785392,0,0.0,0.0,1.0991254500583816,policy 0
3,3097366929.117963,0,0.0,0.0,1.8424241939824593,policy 0
4,1927747846.0549545,0,0.0,0.0,3.1595524365017273,policy 0
5,2409828675.18914,0,0.0,0.0,1.5656608351761858,policy 0
6,525635817.5999775,0,0.0,0.0,0.5856592273442935,policy 0
7,1520361931.577931,0,0.0,0.0,2.966099690046703,policy 0
8,823977059.5831993,0,0.0,0.0,0.7893774796247182,policy 0
9,764877061.3337846,0,0.0,0.0,0.7003618295875466,policy 0
10,1297329019.3576536,0,0.0,0.0,1.2756336004463233,policy 0
11,1541281066.7237341,0,0.0,0.0,1.1929506185984076,policy 0
12,2395776797.2277775,0,0.0,0.0,1.5560646095291681,policy 0
13,550364161.4560732,0,0.0,0.0,0.9708583411703078,policy 0
14,1922883451.3963065,0,0.0,0.0,1.6045091607329391,policy 0
15,1397475951.1709106,0,0.0,0.0,2.9768815784655343,policy 0
16,515593293.388883,0,0.0,0.0,0.3282921926990559,policy 0
17,1861041185.0461411,0,0.0,0.0,1.5953062732635526,policy 0
18,2011446554.951036,0,0.0,0.0,1.5776140215878396,policy 0
19,771381706.4929811,0,0.0,0.0,0.5540409214962166,policy 0
20,621659001.4251201,0,0.0,0.0,0.9797844644769484,policy 0
21,2495480239.6143866,0,0.0,0.0,1.911821956380421,policy 0
22,924021718.3014839,0,0.0,0.0,0.6798321548543664,policy 0
23,1715175597.303584,0,0.0,0.0,1.5068210304414906,policy 0
24,2248539723.776495,0,0.0,0.0,2.7998035014144707,policy 0
25,964221141.7429277,0,0.0,0.0,1.683950359302433,policy 0
26,2327621056.761808,0,0.0,0.0,1.6061479555369054,policy 0
27,3452186026.691682,0,0.0,0.0,2.2219674740817585,policy 0
28,356748710.7600704,0,0.0,0.0,0.46941421799055294,policy 0
29,162650088.09639585,0,0.0,0.0,0.16443392405353904,policy 0
30,1161835443.6314247,0,0.0,0.0,0.9316606057897321,policy 0
31,2801048233.8033834,0,0.0,0.0,1.589738107623744,policy 0
32,1749742625.1724381,0,0.0,0.0,1.3768860331995754,policy 0
33,3952549740.344045,0,0.0,0.0,4.071563788412707,policy 0
34,2314070553.7072916,0,0.0,0.0,1.592935972536527,policy 0
35,1705254226.3357263,0,0.0,0.0,1.5531676021256007,policy 0
36,532656400.9706805,0,0.0,0.0,0.7333481080278154,policy 0
37,1147174096.7603736,0,0.0,0.0,1.3952655270125274,policy 0
38,2274263603.072856,0,0.0,0.0,1.594198282596972,policy 0
39,2283714086.3804264,0,0.0,0.0,1.5668651992350604,policy 0
40,2088621394.8566442,0,0.0,0.0,2.0274384435052983,policy 0
41,1597844708.7419643,0,0.0,0.0,1.3498125185875185,policy 0
42,1241562760.014329,0,0.0,0.0,0.9319294822592139,policy 0
43,1168868553.0369902,0,0.0,0.0,1.218648139516744,policy 0
