,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,15,219.54016774892807,1.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,119,219.54016774892807,1.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
2,15,58.15081089735031,1.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
3,15,219.54016774892807,10.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
4,15,219.54016774892807,1.0,0.1247518565505743,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
5,15,219.54016774892807,1.0,0.230653066188097,83.45549017190933,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
6,15,219.54016774892807,1.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
7,15,219.54016774892807,1.0,0.230653066188097,213.8784682750702,10.0,0.6613759687170386,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
8,15,219.54016774892807,1.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,104.3413308262825,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
9,15,219.54016774892807,1.0,0.230653066188097,213.8784682750702,10.0,0.6982719535008073,202.94259637594223,10.0,0.6707424046471715,235.72361886501312,1.5,0.24235145095735788,141.3504296541214,10.0,0.9168467586860061,1.5,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
