,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,126,146.89266263448383,1.5,0.3040486672309815,321.6623776357483,10.0,0.7478922087459587,349.025235867418,10.0,0.0344325085125098,270.1699305523422,1.5,0.9601573505354656,333.8805753910115,1.5,0.6961783468612518,4.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,116,281.3195876868008,1.0,0.4600763932621721,69.51879581346316,10.0,0.5041476433912164,61.83326619449158,1.5,0.9934688036066962,346.3114045880134,1.0,0.8004408516154248,133.95678081542417,1.5,0.8856113234943848,4.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
2,103,296.586378476243,10.0,0.7220320760173329,322.35355493114076,1.5,0.6922256048940956,328.36370681108303,10.0,0.41833702721535954,112.4323826885261,10.0,0.6611801910652525,265.2325208681282,1.5,0.4308002347001883,4.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
3,56,133.25474077228932,1.0,0.02336827343287466,147.7648871293586,10.0,0.4332333797146171,293.7668385076346,10.0,0.7598592718532159,202.87634759143066,10.0,0.3763169403557475,326.2471217762556,1.0,0.722706976058036,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
4,19,226.14234297921178,1.0,0.5122615152678514,141.2408891076358,10.0,0.7943494785733285,138.6127683722499,10.0,0.4532255820974932,81.0757550105593,1.5,0.49931074583292634,59.885767978752234,1.0,0.522634143068687,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
5,111,181.76035815086857,10.0,0.41854916248811413,197.07059143862833,1.0,0.8336447067984349,96.51430662452525,10.0,0.7055719077265099,264.41494335892514,10.0,0.9122934683088404,264.9456193010851,10.0,0.24323140061981285,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
6,71,240.45847828449726,1.0,0.16559218003876383,167.63003797006374,1.5,0.6722541911451525,143.69707206355017,1.0,0.7493307907564406,275.01014507390965,1.5,0.6578300332399429,43.79126149632085,1.5,0.682939785333193,2.5,3.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
7,18,146.63574535148388,10.0,0.5413897858167328,227.81492169341254,10.0,0.5947457388844575,304.93487018082413,1.5,0.6483863693518169,170.8374633229997,1.5,0.6246055742883484,193.51122546898154,10.0,0.6124354798643608,4.5,2.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
8,99,254.60041411502726,1.0,0.6366567708453718,160.6240569082489,1.0,0.6734995920304937,102.46757271324023,10.0,0.14986461871506307,249.97015979109068,1.0,0.8323166206280375,152.11878950000425,1.5,0.22927056510501467,3.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
9,98,173.8302049168391,1.5,0.14689802790587694,291.63679677106404,1.5,0.1572372226751267,144.23007694147617,1.5,0.9332813138719895,66.50419342693876,1.0,0.44632012918740815,263.6656983261362,1.5,0.753098591607822,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
