,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
0,11,317.88660074218996,1.0,0.33183635522244115,59.92160188023151,10.0,0.6098812872910643,152.81141960765305,1.0,0.09061589330736626,187.55639460610197,1.5,0.23983357421253185,174.53681355840234,1.0,0.26002212033247163,1.5,3.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,policy 0,dikesnet
1,119,192.2088387532391,1.5,0.5912532068805952,159.1275917474571,1.0,0.9699785910724691,336.04407968100094,1.0,0.08271785726761266,203.99471343623713,1.5,0.5131861989458897,34.65999530098779,10.0,0.7489202632082953,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,policy 0,dikesnet
2,78,204.02221749507527,1.5,0.5373384158678525,189.50112007229671,1.0,0.15601472353463894,333.3664989617974,1.0,0.32970281871824864,84.16914646319668,1.5,0.057237263686335645,278.98172041633507,1.0,0.05469785476427622,3.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,policy 0,dikesnet
3,51,130.1760079051326,10.0,0.24039989189349456,77.11680343836585,1.0,0.4722163860337323,261.11483918424216,1.5,0.19989650807704964,107.19952265078904,1.0,0.6181243741159445,38.846992449601956,10.0,0.9552369535136764,2.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,policy 0,dikesnet
4,102,123.5501673098105,1.5,0.5748907167161852,344.6439097220429,1.5,0.17192007190070568,346.4260225510022,1.5,0.014498499012640737,177.03790279413116,1.5,0.015713313957524525,161.03370692247802,10.0,0.2459287775904231,2.5,4.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,policy 0,dikesnet
5,5,201.91139762490326,10.0,0.07052033602963911,326.52558441707964,1.0,0.6885131943977539,83.76387100854372,1.5,0.37321107779386536,259.29061845050256,1.5,0.13716201739257528,43.94984114825682,1.0,0.857715068164751,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,policy 0,dikesnet
6,11,169.01056126889765,1.5,0.596721447470984,114.54132652759475,10.0,0.7208764719716392,175.3547623202112,1.0,0.5568533509177832,161.42224373997468,1.0,0.562293400447976,348.6388585220144,1.5,0.22780934726635008,2.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,policy 0,dikesnet
7,25,70.2426606137333,10.0,0.963139878238083,338.1528423313788,1.5,0.785436852007114,246.722715384919,1.0,0.05534015964813811,343.58676264845775,1.0,0.45352576947616,187.4321577576764,1.5,0.009132084871492977,3.5,2.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,policy 0,dikesnet
8,24,165.08214765663612,1.5,0.6381863069300119,146.01703967672108,1.5,0.9260721992889281,35.68803663430673,1.5,0.7903670008289196,41.581307946749675,1.5,0.4763570398079825,277.273440716223,1.0,0.11327255271406277,3.5,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,policy 0,dikesnet
9,126,44.223098621403,10.0,0.8961388965976259,125.21141581906298,1.0,0.09624150960345573,346.7831239519486,1.5,0.3616103936374057,77.63750559661133,1.0,0.23477406116528943,60.72673754392832,1.0,0.7220002330628337,3.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,policy 0,dikesnet
10,13,334.3564002406043,10.0,0.34902309038742313,170.92223215426185,1.5,0.9196640015177343,238.25385664466177,10.0,0.543461125265534,53.36048121039355,1.0,0.4325546754271726,167.99068700492788,10.0,0.8744108839942223,4.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,policy 0,dikesnet
11,105,338.7990539044472,1.0,0.9250431286433144,81.3628571481901,1.0,0.2221594942934607,166.04305208136014,1.0,0.8174985376413625,227.34868465303657,10.0,0.4378480034317932,33.02181681215456,1.5,0.036318590355050376,4.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,policy 0,dikesnet
12,79,330.64547709628425,1.0,0.1319696707665809,280.74691685310427,10.0,0.38464237909219956,105.96118842425139,1.5,0.4893597225574583,342.0118028694696,1.0,0.8242339622356921,313.12673600124896,10.0,0.28535950095645113,2.5,1.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,policy 0,dikesnet
13,62,106.85778266892946,1.5,0.9245564620564294,168.6121042554009,1.0,0.8014652966744459,73.28685717128042,10.0,0.35743286302167787,137.33306405989606,1.0,0.9790011364012505,300.60523512171926,1.5,0.322402693009269,3.5,4.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,policy 0,dikesnet
14,62,138.94919277278316,1.0,0.2918329946456176,332.67846448397324,10.0,0.34167734236384506,216.72963420207506,10.0,0.48183272346356826,145.83322719178668,10.0,0.2747685852693765,311.2837536811218,1.5,0.3500712182157593,2.5,4.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,policy 0,dikesnet
15,2,309.97024586975607,10.0,0.6118573506293011,66.60123655449158,1.0,0.9719616907641784,331.124769743731,1.5,0.025202409262925652,104.01779712464676,1.0,0.8339063097975052,271.68894031988754,1.5,0.7354736239632451,3.5,3.5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,policy 0,dikesnet
