,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2,7,3,8,6,4,2,2,0,10,7,6,6,6,41392310.53516163,648943323.2741277,800900000.0,0.0,0.062286346312683954
1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,2,2,5,8,5,3,1,5,2,10,1,0,2,2,5,0,153036568.8584384,549223020.4042637,795000000.0,11024.478576955451,0.02780846632126039
2,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,8,2,3,3,5,0,0,4,3,10,10,3,1,2,2,353138634.7854034,501382419.1677636,733500000.0,0.0,0.4246854479383849
3,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,9,7,7,3,0,3,7,3,4,10,0,6,1,2,44863154.99458245,546023749.9838897,928200000.0,1735.0284401770252,0.02804076662168136
4,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,8,8,10,3,3,0,8,9,10,5,3,0,4,2,7,68223028.6250543,748452409.2434435,667700000.0,4158.418148337957,0.012449533388262731
5,0,1,1,0,0,0,1,1,1,1,1,1,0,0,1,1,3,4,3,5,3,2,3,8,1,9,6,4,5,6,0,8447956.945540152,551102945.41639,881000000.0,384.46595319161906,0.004070535701923185
6,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,4,1,5,4,3,9,5,0,10,1,10,2,6,6,122268213.64704846,569769762.4827094,607900000.0,0.0,0.15887277886902734
7,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,2,6,10,1,6,9,9,3,6,9,6,7,3,10,9,125353369.65610793,803063024.5865695,554000000.0,9425.217501511517,0.024319351852994015
8,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,3,7,10,9,4,8,8,5,7,5,9,5,8,1,8,3186834.4352179985,863711540.5246859,912600000.0,143.65048815380862,0.0015815063725700114
9,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,1,4,0,6,6,2,0,5,10,8,5,5,10,4,1,1,63356291.27340498,522868228.1276829,824000000.0,2396.228774660611,0.024756946454375667
10,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,3,7,2,5,6,4,7,6,4,3,2,1,6,7,3,9,2692332.587924846,704710135.3108084,1062200000.0,252.762840151653,0.0004402218551786833
11,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,1,7,6,0,2,2,1,2,2,3,6,6,1,7,5,271009021.57572556,497094825.37148225,1199400000.0,0.0,0.332330017696864
12,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,2,1,9,5,2,4,8,10,3,9,3,6,7,4,7,4,83093614.43227093,710546730.9502934,710400000.0,5839.791268442698,0.016484503196352068
13,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,4,1,2,7,2,6,1,2,6,4,6,7,9,5,9,8,55755674.347932644,635573579.1914071,831600000.0,5256.902844127128,0.010176079382721269
14,0,1,1,1,1,0,0,0,0,1,1,1,0,0,1,2,9,3,10,7,6,0,7,10,2,2,9,7,9,5,6,0.0,785687807.0728362,1224500000.0,0.0,0.0
15,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2,2,3,7,1,6,6,5,10,9,8,7,8,7,5,0,86295137.91940475,653548360.6789784,666200000.0,5917.8969705356285,0.01686383157538086
16,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,3,6,5,2,2,10,5,9,4,10,4,9,6,4,9,0,81475976.35294026,707665109.6398007,710400000.0,7148.63725297022,0.01295678457624063
17,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,10,6,6,10,7,3,8,4,2,2,2,3,1,4,0,74898269.78260355,760237455.943075,563500000.0,0.0,0.08418008508265822
18,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,3,10,1,2,9,5,3,10,2,8,1,10,9,4,5,3,119887178.96800253,742825075.3578926,535300000.0,11430.419653830082,0.01907490174886914
19,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,5,2,1,0,0,4,5,5,8,4,7,9,6,3,6,566928569.1186699,491970017.1962353,1288500000.0,0.0,0.632218273508541
20,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,5,3,2,9,7,6,7,2,5,5,1,8,4,2,6,82138011.8175135,708681731.0766082,795000000.0,0.0,0.1040948427914647
21,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,3,2,3,4,2,2,6,5,5,3,5,9,10,10,7,4610752.950247429,667108673.6888264,868400000.0,181.16824733591403,0.0023331150254892255
22,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,2,2,0,1,4,0,1,10,10,2,8,8,9,9,1,3,19441256.418158796,516533142.6593369,946900000.0,903.9712974041756,0.00293151052255311
23,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1,3,5,8,8,4,1,1,5,0,7,8,5,3,3,2,8,63004691.810255915,635807314.7440661,816000000.0,5580.373646422604,0.009412313040014117
24,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,6,3,3,10,4,4,3,1,6,4,3,9,8,1,6,37321333.20726631,689881566.9751503,807000000.0,1088.2680655641623,0.03257183507486822
25,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,8,3,4,9,0,4,5,7,4,0,1,8,2,0,5,275557006.6232216,561648309.1543971,741100000.0,0.0,0.3130050056332999
26,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,2,8,5,4,5,1,5,9,9,7,2,0,0,1,10,377549277.73610014,618024305.16183,454300000.0,17019.01662906872,0.15834473819790815
